,WikiPageName,Party,State,congress_number
388,Dennis_Heck,Democratic,Washington,113
389,George_Holding,Republican,North Carolina,113
390,Steven_Horsford,Democratic,Nevada,113
391,Richard_Hudson_(American_politician),Republican,North Carolina,113
392,Jared_Huffman,Democratic,California,113
393,Hakeem_Jeffries,Democratic,New York,113
394,David_Joyce_(politician),Republican,Ohio,113
395,Joe_Kennedy_III,Democratic,Massachusetts,113
396,Dan_Kildee,Democratic,Michigan,113
397,Derek_Kilmer,Democratic,Washington,113
398,Ann_McLane_Kuster,Democratic,New Hampshire,113
399,Doug_LaMalfa,Republican,California,113
400,Alan_Lowenthal,Democratic,California,113
401,Michelle_Lujan_Grisham,Democratic,New Mexico,113
402,Sean_Patrick_Maloney,Democratic,New York,113
403,Gloria_Negrete_McLeod,Democratic,California,113
404,Mark_Meadows_(North_Carolina_politician),Republican,North Carolina,113
405,Grace_Meng,Democratic,New York,113
406,Luke_Messer,Republican,Indiana,113
407,Markwayne_Mullin,Republican,Oklahoma,113
408,Patrick_Murphy_(Florida_politician),Democratic,Florida,113
409,Beto_O'Rourke,Democratic,Texas,113
410,Scott_Perry_(politician),Republican,Pennsylvania,113
411,Scott_Peters_(politician),Democratic,California,113
412,Robert_Pittenger,Republican,North Carolina,113
413,Mark_Pocan,Democratic,Wisconsin,113
414,Trey_Radel,Republican,Florida,113
415,Tom_Rice,Republican,South Carolina,113
416,Keith_Rothfus,Republican,Pennsylvania,113
417,Raul_Ruiz_(politician),Democratic,California,113
418,Brad_Schneider,Democratic,Illinois,113
419,Kyrsten_Sinema,Democratic,Arizona,113
420,Chris_Stewart_(politician),Republican,Utah,113
421,Eric_Swalwell,Democratic,California,113
422,Mark_Takano,Democratic,California,113
423,David_Valadao,Republican,California,113
424,Juan_Vargas,Democratic,California,113
425,Marc_Veasey,Democratic,Texas,113
426,Filemon_Vela_Jr.,Democratic,Texas,113
427,Ann_Wagner,Republican,Missouri,113
428,Jackie_Walorski,Republican,Indiana,113
429,Randy_Weber,Republican,Texas,113
430,Brad_Wenstrup,Republican,Ohio,113
431,Roger_Williams_(American_politician),Republican,Texas,113
432,Ted_Yoho,Republican,Florida,113
433,Robin_Kelly,Democratic,Illinois,113
434,Mark_Sanford,Republican,South Carolina,113
435,Jason_Smith_(politician),Republican,Missouri,113
436,Vance_McAllister,Republican,Louisiana,113
437,Katherine_Clark,Democratic,Massachusetts,113
438,Bradley_Byrne,Republican,Alabama,113
439,David_Jolly,Republican,Florida,113
440,Curt_Clawson,Republican,Florida,113
441,Alma_Adams,Democratic,North Carolina,113
442,Dave_Brat,Republican,Virginia,113
443,Donald_Norcross,Democratic,New Jersey,113
444,John_Conyers,Democratic,Michigan,114
445,Charles_Rangel,Democratic,New York,114
446,Don_Young,Republican,Alaska,114
447,Jim_Sensenbrenner,Republican,Wisconsin,114
448,Hal_Rogers,Republican,Kentucky,114
449,Chris_Smith_(New_Jersey_politician),Republican,New Jersey,114
450,Steny_Hoyer,Democratic,Maryland,114
451,Marcy_Kaptur,Democratic,Ohio,114
452,Sander_Levin,Democratic,Michigan,114
453,Joe_Barton,Republican,Texas,114
454,Pete_Visclosky,Democratic,Indiana,114
455,Peter_DeFazio,Democratic,Oregon,114
456,John_Lewis_(civil_rights_leader),Democratic,Georgia,114
457,Louise_Slaughter,Democratic,New York,114
458,Lamar_Smith,Republican,Texas,114
459,Fred_Upton,Republican,Michigan,114
460,Nancy_Pelosi,Democratic,California,114
461,Jimmy_Duncan_(politician),Republican,Tennessee,114
462,Frank_Pallone,Democratic,New Jersey,114
463,Eliot_Engel,Democratic,New York,114
464,Nita_Lowey,Democratic,New York,114
465,Jim_McDermott,Democratic,Washington,114
466,Richard_Neal,Democratic,Massachusetts,114
467,Dana_Rohrabacher,Republican,California,114
468,Ileana_Ros-Lehtinen,Republican,Florida,114
469,José_E._Serrano,Democratic,New York,114
470,David_Price_(American_politician),Democratic,North Carolina,114
471,John_Boehner,Republican,Ohio,114
472,Rosa_DeLauro,Democratic,Connecticut,114
473,Collin_Peterson,Democratic,Minnesota,114
474,Maxine_Waters,Democratic,California,114
475,Sam_Johnson,Republican,Texas,114
476,Jerrold_Nadler,Democratic,New York,114
477,Jim_Cooper,Democratic,Tennessee,114
478,Xavier_Becerra,Democratic,California,114
479,Sanford_Bishop,Democratic,Georgia,114
480,Corrine_Brown,Democratic,Florida,114
481,Ken_Calvert,Republican,California,114
482,Jim_Clyburn,Democratic,South Carolina,114
483,Anna_Eshoo,Democratic,California,114
484,Bob_Goodlatte,Republican,Virginia,114
485,Gene_Green,Democratic,Texas,114
486,Luis_Gutiérrez,Democratic,Illinois,114
487,Alcee_Hastings,Democratic,Florida,114
488,Eddie_Bernice_Johnson,Democratic,Texas,114
489,Peter_T._King,Republican,New York,114
490,Carolyn_Maloney,Democratic,New York,114
491,John_Mica,Republican,Florida,114
492,Lucille_Roybal-Allard,Democratic,California,114
493,Ed_Royce,Republican,California,114
494,Bobby_Rush,Democratic,Illinois,114
495,Bobby_Scott_(politician),Democratic,Virginia,114
496,Nydia_Velázquez,Democratic,New York,114
497,Bennie_Thompson,Democratic,Mississippi,114
498,Sam_Farr,Democratic,California,114
499,Frank_Lucas_(Oklahoma_politician),Republican,Oklahoma,114
500,Lloyd_Doggett,Democratic,Texas,114
501,Michael_F._Doyle,Democratic,Pennsylvania,114
502,Chaka_Fattah,Democratic,Pennsylvania,114
503,Rodney_Frelinghuysen,Republican,New Jersey,114
504,Sheila_Jackson_Lee,Democratic,Texas,114
505,Walter_B._Jones_Jr.,Republican,North Carolina,114
506,Frank_LoBiondo,Republican,New Jersey,114
507,Zoe_Lofgren,Democratic,California,114
508,Mac_Thornberry,Republican,Texas,114
509,Ed_Whitfield,Republican,Kentucky,114
510,Elijah_Cummings,Democratic,Maryland,114
511,Earl_Blumenauer,Democratic,Oregon,114
512,Robert_Aderholt,Republican,Alabama,114
513,Kevin_Brady,Republican,Texas,114
514,Danny_K._Davis,Democratic,Illinois,114
515,Diana_DeGette,Democratic,Colorado,114
516,Kay_Granger,Republican,Texas,114
517,Rubén_Hinojosa,Democratic,Texas,114
518,Ron_Kind,Democratic,Wisconsin,114
519,Jim_McGovern_(American_politician),Democratic,Massachusetts,114
520,Bill_Pascrell,Democratic,New Jersey,114
521,Joe_Pitts,Republican,Pennsylvania,114
522,Loretta_Sanchez,Democratic,California,114
523,Pete_Sessions,Republican,Texas,114
524,Brad_Sherman,Democratic,California,114
525,John_Shimkus,Republican,Illinois,114
526,Adam_Smith_(politician),Democratic,Washington,114
527,Gregory_Meeks,Democratic,New York,114
528,Lois_Capps,Democratic,California,114
529,Barbara_Lee,Democratic,California,114
530,Bob_Brady,Democratic,Pennsylvania,114
531,Steve_Chabot,Republican,Ohio,114
532,Mike_Capuano,Democratic,Massachusetts,114
533,Joe_Crowley,Democratic,New York,114
534,John_B._Larson,Democratic,Connecticut,114
535,Grace_Napolitano,Democratic,California,114
536,Paul_Ryan,Republican,Wisconsin,114
537,Jan_Schakowsky,Democratic,Illinois,114
538,Mike_Simpson,Republican,Idaho,114
539,Mike_Thompson_(California_politician),Democratic,California,114
540,Greg_Walden,Republican,Oregon,114
541,Lacy_Clay,Democratic,Missouri,114
542,Ander_Crenshaw,Republican,Florida,114
543,John_Culberson,Republican,Texas,114
544,Susan_Davis_(politician),Democratic,California,114
