ym,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,incident_count
15-06,11224,9,0,3,0,3,0,3,0,58
15-06,11225,25,1,5,1,3,0,17,0,98
15-06,11226,47,1,14,0,8,1,25,0,161
15-06,11228,12,0,4,0,0,0,8,0,47
15-06,11229,27,0,6,0,3,0,18,0,84
15-06,11230,33,0,3,0,2,0,28,0,110
15-06,11231,9,0,5,0,0,0,4,0,56
15-06,11232,23,0,4,0,1,0,18,0,84
15-06,11233,42,0,1,0,1,0,40,0,158
15-06,11234,34,0,7,0,2,0,25,0,127
15-06,11235,28,0,9,0,1,0,18,0,106
15-06,11236,61,1,6,0,0,0,55,1,151
15-06,11237,25,0,3,0,6,0,16,0,85
15-06,11238,40,0,5,0,10,0,25,0,95
15-06,11239,5,0,0,0,0,0,5,0,30
15-06,11249,7,0,3,0,4,0,0,0,52
15-06,11354,28,0,4,0,2,0,22,0,128
15-06,11355,23,0,9,0,2,0,12,0,113
15-06,11356,11,0,2,0,1,0,8,0,45
15-06,11357,18,0,0,0,2,0,16,0,57
15-06,11358,25,0,1,0,4,0,20,0,75
15-06,11360,2,0,0,0,0,0,2,0,15
15-06,11361,12,0,2,0,1,0,9,0,79
15-06,11362,11,0,0,0,0,0,11,0,39
15-06,11363,1,0,0,0,0,0,1,0,12
15-06,11364,13,0,3,0,1,0,9,0,33
15-06,11365,8,0,1,0,0,0,7,0,40
15-06,11366,7,0,1,0,0,0,6,0,22
15-06,11367,12,0,0,0,0,0,12,0,49
15-06,11368,26,0,7,0,8,0,11,0,107
15-06,11369,10,0,0,0,2,0,8,0,59
15-06,11370,11,0,2,0,0,0,9,0,44
15-06,11372,31,0,6,0,4,0,21,0,107
15-06,11373,29,0,8,0,1,0,20,0,111
15-06,11374,3,0,1,0,1,0,1,0,62
15-06,11375,24,0,3,0,1,0,20,0,101
15-06,11377,27,0,4,0,6,0,17,0,116
15-06,11378,13,0,1,0,2,0,10,0,74
15-06,11379,8,0,2,0,3,0,3,0,48
15-06,11385,42,0,4,0,6,0,32,0,150
15-06,11411,18,0,1,0,1,0,16,0,39
15-06,11412,50,1,4,0,1,0,45,1,65
15-06,11413,42,0,4,0,0,0,38,0,116
15-06,11414,14,0,0,0,0,0,14,0,28
15-06,11415,3,0,1,0,0,0,2,0,20
15-06,11416,19,0,0,0,0,0,19,0,39
15-06,11417,27,0,1,0,1,0,25,0,68
15-06,11418,5,0,2,0,0,0,3,0,63
15-06,11419,18,0,4,0,5,0,9,0,86
15-06,11420,42,0,3,0,1,0,38,0,90
15-06,11421,12,0,2,0,4,0,6,0,62
15-06,11422,33,1,2,0,1,0,30,1,86
15-06,11423,20,0,3,0,0,0,17,0,56
15-06,11426,15,0,1,0,1,0,13,0,32
15-06,11427,4,0,1,0,1,0,2,0,23
15-06,11428,17,0,1,0,2,0,14,0,31
15-06,11429,3,0,0,0,0,0,3,0,29
15-06,11432,22,0,8,0,0,0,14,0,99
15-06,11433,33,0,5,0,2,0,26,0,64
15-06,11434,51,0,5,0,2,0,44,0,159
15-06,11435,29,1,7,0,2,0,20,1,95
15-06,11436,22,0,3,0,0,0,19,0,25
15-06,11691,7,0,2,0,0,0,5,0,78
15-06,11692,6,0,0,0,0,0,6,0,16
15-06,11693,2,0,0,0,0,0,2,0,12
15-06,11694,4,0,0,0,1,0,3,0,24
15-06,11697,0,0,0,0,0,0,0,0,1
15-07,10001,26,0,8,0,3,0,15,0,190
15-07,10002,36,0,3,0,13,0,20,0,167
15-07,10003,13,0,5,0,7,0,1,0,109
15-07,10004,3,0,1,0,1,0,1,0,31
15-07,10005,4,0,2,0,2,0,0,0,14
15-07,10006,4,0,0,0,0,0,4,0,18
15-07,10007,7,0,4,0,2,0,1,0,50
15-07,10009,16,0,6,0,4,0,6,0,77
15-07,10010,19,0,7,0,5,0,7,0,103
15-07,10011,12,0,4,0,4,0,4,0,106
15-07,10012,17,0,2,0,2,0,13,0,84
15-07,10013,15,0,4,0,3,0,8,0,169
15-07,10014,15,0,3,0,1,0,11,0,90
15-07,10016,44,0,11,0,10,0,23,0,230
15-07,10017,23,0,5,0,8,0,10,0,159
15-07,10018,13,0,7,0,1,0,5,0,169
15-07,10019,23,0,5,0,2,0,16,0,187
15-07,10020,1,0,1,0,0,0,0,0,6
15-07,10021,4,0,2,0,1,0,1,0,65
15-07,10022,22,0,6,0,6,0,10,0,218
15-07,10023,15,0,7,0,2,0,6,0,83
15-07,10024,9,0,2,0,5,0,2,0,68
15-07,10025,17,0,7,0,6,0,4,0,102
15-07,10026,11,0,0,0,5,0,6,0,43
15-07,10027,19,0,12,0,1,0,6,0,109
15-07,10028,7,0,5,0,1,0,1,0,34
15-07,10029,26,0,12,0,4,0,10,0,128
15-07,10030,15,0,4,0,2,0,9,0,48
15-07,10031,16,0,4,0,2,0,10,0,63
15-07,10032,16,0,2,0,0,0,14,0,77
15-07,10033,10,0,3,0,3,0,4,0,68
15-07,10034,8,0,2,0,1,0,5,0,61
15-07,10035,25,0,9,0,2,0,14,0,111
15-07,10036,14,0,8,0,2,0,4,0,205
15-07,10037,9,0,1,0,3,0,5,0,33
15-07,10038,3,0,2,0,1,0,0,0,41
15-07,10039,13,0,2,0,1,0,10,0,31
15-07,10040,11,0,1,0,2,0,8,0,48
15-07,10048,1,0,0,0,0,0,1,0,3
15-07,10065,10,0,1,0,2,0,7,0,124
15-07,10069,0,0,0,0,0,0,0,0,7
15-07,10075,8,0,2,0,1,0,5,0,35
15-07,10119,0,0,0,0,0,0,0,0,1
15-07,10128,16,0,3,0,2,0,11,0,78
15-07,10280,0,0,0,0,0,0,0,0,2
15-07,10281,0,0,0,0,0,0,0,0,1
15-07,10301,6,0,1,0,1,0,4,0,60
15-07,10304,31,0,2,0,0,0,29,0,69
15-07,10305,25,0,1,0,3,0,21,0,85
15-07,10306,12,0,0,0,0,0,12,0,60
15-07,10307,4,0,0,0,0,0,4,0,13
15-07,10308,5,0,1,0,0,0,4,0,29
15-07,10309,17,0,2,0,0,0,15,0,51
15-07,10310,11,0,7,0,0,0,4,0,42
15-07,10312,29,0,0,0,0,0,29,0,91
15-07,10314,7,0,0,0,1,0,6,0,23
15-07,10451,20,0,4,0,2,0,14,0,98
15-07,10452,18,0,3,0,3,0,12,0,63
15-07,10453,29,0,8,0,2,0,19,0,75
15-07,10454,22,0,4,0,3,0,15,0,65
15-07,10455,22,0,8,0,5,0,9,0,62
15-07,10456,38,0,10,0,2,0,26,0,88
15-07,10457,32,0,11,0,1,0,20,0,108
15-07,10458,18,0,3,0,1,0,14,0,88
15-07,10459,28,0,10,0,0,0,18,0,65
15-07,10460,30,0,4,0,2,0,24,0,99
15-07,10461,26,0,3,0,2,0,21,0,90
15-07,10462,21,0,4,0,2,0,15,0,83
15-07,10463,21,0,5,0,3,0,13,0,65
15-07,10464,2,0,1,0,0,0,1,0,10
15-07,10465,11,0,2,0,1,0,8,0,39
15-07,10466,23,0,2,0,1,0,20,0,93
15-07,10467,19,0,4,0,2,0,13,0,136
15-07,10468,36,0,3,0,3,0,30,0,104
15-07,10469,30,0,8,0,3,0,19,0,108
15-07,10470,15,0,2,0,1,0,12,0,44
15-07,10471,3,0,1,0,2,0,0,0,24
15-07,10472,13,0,5,0,1,0,7,0,72
15-07,10473,13,0,1,0,1,0,11,0,65
15-07,10474,4,0,0,0,2,0,2,0,37
15-07,10475,5,0,0,0,0,0,5,0,42
15-07,11001,0,0,0,0,0,0,0,0,2
15-07,11004,7,0,2,0,0,0,5,0,43
15-07,11005,0,0,0,0,0,0,0,0,2
15-07,11040,0,0,0,0,0,0,0,0,2
15-07,11101,40,1,5,0,10,1,25,0,204
15-07,11102,9,0,1,0,2,0,6,0,42
15-07,11103,5,0,1,0,3,0,1,0,47
15-07,11104,6,0,1,0,1,0,4,0,29
15-07,11105,21,0,3,0,1,0,17,0,45
15-07,11106,22,0,6,0,2,0,14,0,66
15-07,11109,0,0,0,0,0,0,0,0,1
15-07,11201,41,0,7,0,8,0,26,0,176
15-07,11203,69,0,3,0,6,0,60,0,176
15-07,11204,18,0,1,0,5,0,12,0,117
15-07,11205,28,0,4,0,8,0,16,0,96
15-07,11206,36,0,5,0,10,0,21,0,126
15-07,11207,96,1,11,1,12,0,73,0,268
15-07,11208,59,0,9,0,7,0,43,0,137
15-07,11209,17,0,8,0,2,0,7,0,76
15-07,11210,40,0,3,0,6,0,31,0,93
15-07,11211,44,0,4,0,15,0,25,0,122
15-07,11212,56,1,5,1,6,0,45,0,152
15-07,11213,63,0,13,0,7,0,43,0,145
15-07,11214,27,0,7,0,3,0,17,0,113
15-07,11215,19,0,0,0,5,0,14,0,94
15-07,11216,37,0,11,0,5,0,21,0,126
15-07,11217,33,1,6,0,6,1,21,0,119
15-07,11218,29,0,3,0,5,0,21,0,104
15-07,11219,21,0,4,0,3,0,14,0,86
15-07,11220,33,0,10,0,3,0,20,0,152
15-07,11221,35,1,4,1,6,0,25,0,102
15-07,11222,23,0,2,0,10,0,11,0,96
15-07,11223,25,0,8,0,5,0,12,0,98
15-07,11224,17,0,1,0,0,0,16,0,81
15-07,11225,31,0,0,0,8,0,23,0,92
15-07,11226,51,0,9,0,20,0,22,0,140
15-07,11228,12,0,3,0,1,0,8,0,51
15-07,11229,46,0,8,0,4,0,34,0,109
15-07,11230,43,0,4,0,7,0,32,0,111
15-07,11231,6,1,1,0,3,1,2,0,51
15-07,11232,27,0,0,0,7,0,20,0,80
15-07,11233,40,0,5,0,5,0,30,0,148
15-07,11234,37,0,3,0,1,0,33,0,127
15-07,11235,23,0,2,0,4,0,17,0,136
15-07,11236,43,0,5,0,2,0,36,0,160
15-07,11237,11,0,4,0,2,0,5,0,73
15-07,11238,31,0,3,0,6,0,22,0,101
15-07,11239,2,0,0,0,0,0,2,0,15
15-07,11249,8,0,1,0,3,0,4,0,46
15-07,11354,23,0,4,0,3,0,16,0,140
15-07,11355,28,0,8,0,3,0,17,0,123
15-07,11356,1,0,0,0,1,0,0,0,45
15-07,11357,8,0,1,0,1,0,6,0,35
15-07,11358,12,0,3,0,1,0,8,0,76
15-07,11360,1,0,1,0,0,0,0,0,12
15-07,11361,10,0,2,0,1,0,7,0,67
15-07,11362,2,0,1,0,0,0,1,0,25
15-07,11363,2,0,1,0,0,0,1,0,8
15-07,11364,13,3,0,0,3,0,10,3,37
15-07,11365,10,0,1,0,0,0,9,0,32
15-07,11366,3,0,0,0,1,0,2,0,33
15-07,11367,9,0,2,0,0,0,7,0,33
15-07,11368,36,0,5,0,11,0,20,0,116
15-07,11369,20,0,4,0,0,0,16,0,55
15-07,11370,12,0,1,0,3,0,8,0,42
15-07,11372,29,0,6,0,7,0,16,0,111
15-07,11373,29,0,8,0,4,0,17,0,110
15-07,11374,17,0,3,0,3,0,11,0,54
15-07,11375,18,0,6,0,0,0,12,0,99
15-07,11377,35,0,7,0,8,0,20,0,126
15-07,11378,9,0,2,0,0,0,7,0,77
15-07,11379,6,0,2,0,3,0,1,0,47
15-07,11385,37,0,10,0,7,0,20,0,175
15-07,11411,19,1,2,0,1,0,16,1,53
15-07,11412,18,0,1,0,2,0,15,0,65
15-07,11413,27,0,6,0,0,0,21,0,91
15-07,11414,19,0,1,0,1,0,17,0,47
15-07,11415,3,1,1,0,0,0,2,1,22
15-07,11416,10,0,0,0,4,0,6,0,57
15-07,11417,34,0,2,0,1,0,31,0,67
15-07,11418,14,0,2,0,2,0,10,0,63
15-07,11419,21,0,6,0,3,0,12,0,85
15-07,11420,39,0,2,0,3,0,34,0,93
15-07,11421,14,0,0,0,3,0,11,0,43
15-07,11422,35,0,4,0,1,0,30,0,92
15-07,11423,19,0,3,0,0,0,16,0,51
15-07,11426,4,0,0,0,0,0,4,0,22
15-07,11427,3,0,1,0,1,0,1,0,27
15-07,11428,4,0,1,0,0,0,3,0,36
15-07,11429,12,0,2,0,0,0,10,0,46
15-07,11432,44,0,6,0,1,0,37,0,103
15-07,11433,31,0,2,0,3,0,26,0,78
15-07,11434,40,1,3,0,2,0,35,1,139
15-07,11435,23,0,3,0,2,0,18,0,78
15-07,11436,13,0,1,0,0,0,12,0,35
15-07,11691,18,0,5,0,2,0,11,0,67
15-07,11692,10,0,2,0,0,0,8,0,14
15-07,11693,7,0,0,0,1,0,6,0,16
15-07,11694,4,0,2,0,1,0,1,0,21
15-07,11697,0,0,0,0,0,0,0,0,3
15-08,10001,20,0,7,0,7,0,6,0,200
15-08,10002,32,0,8,0,10,0,14,0,125
15-08,10003,25,0,8,0,13,0,4,0,104
15-08,10004,3,0,1,0,1,0,1,0,28
15-08,10005,2,0,1,0,0,0,1,0,15
15-08,10006,3,0,1,0,0,0,2,0,21
15-08,10007,3,0,2,0,1,0,0,0,38
15-08,10009,14,0,3,0,5,0,6,0,68
15-08,10010,14,0,2,0,6,0,6,0,84
15-08,10011,21,0,2,0,5,0,14,0,104
15-08,10012,13,0,2,0,6,0,5,0,103
15-08,10013,21,0,7,0,8,0,6,0,192
15-08,10014,10,0,2,0,2,0,6,0,87
15-08,10016,39,0,15,0,7,0,17,0,218
15-08,10017,24,1,6,1,5,0,13,0,134
15-08,10018,7,0,4,0,3,0,0,0,137
15-08,10019,15,1,4,1,5,0,6,0,170
15-08,10020,0,0,0,0,0,0,0,0,5
15-08,10021,8,0,5,0,1,0,2,0,70
15-08,10022,35,0,11,0,8,0,16,0,196
15-08,10023,5,0,2,0,2,0,1,0,70
15-08,10024,12,0,3,0,3,0,6,0,73
15-08,10025,18,0,3,0,1,0,14,0,83
15-08,10026,11,0,2,0,4,0,5,0,39
15-08,10027,25,0,5,0,2,0,18,0,117
15-08,10028,9,0,1,0,1,0,7,0,54
15-08,10029,33,0,14,0,5,0,14,0,137
15-08,10030,15,0,4,0,1,0,10,0,44
15-08,10031,14,0,3,0,2,0,9,0,71
15-08,10032,18,0,4,0,4,0,10,0,73
15-08,10033,17,0,4,0,2,0,11,0,91
15-08,10034,14,0,6,0,3,0,5,0,70
15-08,10035,21,0,7,0,2,0,12,0,101
15-08,10036,15,0,6,0,5,0,4,0,202
15-08,10037,15,0,4,0,2,0,9,0,43
15-08,10038,7,0,3,0,1,0,3,0,39
15-08,10039,3,0,0,0,0,0,3,0,21
15-08,10040,6,0,2,0,1,0,3,0,39
15-08,10048,0,0,0,0,0,0,0,0,2
15-08,10065,16,0,5,0,5,0,6,0,121
15-08,10069,1,0,0,0,1,0,0,0,1
15-08,10075,6,0,0,0,1,0,5,0,30
15-08,10111,0,0,0,0,0,0,0,0,1
15-08,10119,0,0,0,0,0,0,0,0,2
15-08,10128,8,0,3,0,3,0,2,0,80
15-08,10280,1,0,0,0,1,0,0,0,4
15-08,10301,20,0,1,0,1,0,18,0,59
15-08,10302,1,0,0,0,0,0,1,0,3
15-08,10304,19,0,3,0,0,0,16,0,62
15-08,10305,14,0,1,0,0,0,13,0,50
15-08,10306,30,1,4,1,0,0,26,0,100
15-08,10307,2,0,0,0,0,0,2,0,13
15-08,10308,4,1,0,0,0,0,4,1,29
15-08,10309,7,0,1,0,0,0,6,0,33
15-08,10310,15,0,4,0,1,0,10,0,54
15-08,10312,12,0,0,0,0,0,12,0,73
15-08,10314,13,0,1,0,0,0,12,0,32
15-08,10451,46,0,6,0,6,0,34,0,102
15-08,10452,38,1,11,0,6,1,21,0,93
15-08,10453,27,0,4,0,4,0,19,0,79
15-08,10454,24,0,2,0,2,0,20,0,78
15-08,10455,19,0,7,0,2,0,10,0,71
15-08,10456,21,0,6,0,3,0,12,0,95
15-08,10457,29,0,10,0,3,0,16,0,94
15-08,10458,35,0,7,0,1,0,27,0,127
15-08,10459,26,0,4,0,3,0,19,0,65
15-08,10460,36,0,7,0,2,0,27,0,102
15-08,10461,20,0,5,0,1,0,14,0,100
15-08,10462,17,0,1,0,0,0,16,0,72
15-08,10463,7,0,1,0,1,0,5,0,62
15-08,10464,5,0,0,0,0,0,5,0,11
15-08,10465,13,0,1,0,1,0,11,0,54
15-08,10466,35,0,3,0,2,0,30,0,111
15-08,10467,31,0,10,0,4,0,17,0,126
15-08,10468,38,0,13,0,3,0,22,0,90
15-08,10469,16,0,5,0,2,0,9,0,93
15-08,10470,12,0,0,0,0,0,12,0,36
15-08,10471,7,0,2,0,0,0,5,0,16
15-08,10472,14,0,4,0,4,0,6,0,56
15-08,10473,11,0,0,0,1,0,10,0,53
15-08,10474,7,0,1,0,0,0,6,0,49
15-08,10475,10,0,2,0,1,0,7,0,43
15-08,11001,1,0,0,0,0,0,1,0,7
15-08,11004,5,0,0,0,0,0,5,0,26
15-08,11005,0,0,0,0,0,0,0,0,1
15-08,11040,1,0,0,0,0,0,1,0,3
15-08,11101,38,0,4,0,6,0,28,0,209
15-08,11102,9,0,1,0,4,0,4,0,44
15-08,11103,10,0,1,0,2,0,7,0,49
15-08,11104,7,0,1,0,3,0,3,0,32
15-08,11105,13,0,3,0,1,0,9,0,45
15-08,11106,23,0,6,0,0,0,17,0,77
15-08,11109,1,0,0,0,0,0,1,0,8
15-08,11201,26,1,5,1,5,0,16,0,194
15-08,11203,81,0,11,0,8,0,62,0,187
15-08,11204,24,0,11,0,1,0,12,0,119
15-08,11205,32,0,3,0,9,0,20,0,84
15-08,11206,34,0,9,0,11,0,14,0,146
15-08,11207,88,0,10,0,7,0,71,0,259
15-08,11208,70,0,10,0,7,0,53,0,165
15-08,11209,24,1,7,0,3,0,14,1,74
15-08,11210,22,0,5,0,5,0,12,0,76
15-08,11211,38,0,8,0,11,0,19,0,136
15-08,11212,66,0,10,0,3,0,53,0,158
15-08,11213,53,0,16,0,6,0,31,0,142
15-08,11214,40,0,7,0,6,0,27,0,114
15-08,11215,23,0,6,0,6,0,11,0,109
15-08,11216,45,0,7,0,6,0,32,0,126
15-08,11217,27,0,4,0,5,0,18,0,108
15-08,11218,34,0,8,0,4,0,22,0,100
15-08,11219,20,0,3,0,6,0,11,0,97
15-08,11220,29,1,12,0,3,1,14,0,142
15-08,11221,50,1,7,1,12,0,31,0,123
15-08,11222,11,0,3,0,3,0,5,0,102
15-08,11223,20,0,2,0,5,0,13,0,104
15-08,11224,24,0,5,0,4,0,15,0,85
15-08,11225,40,0,6,0,7,0,27,0,114
15-08,11226,54,1,14,1,7,0,33,0,154
15-08,11228,16,0,1,0,0,0,15,0,55
15-08,11229,28,0,5,0,4,0,19,0,90
15-08,11230,24,1,4,1,4,0,16,0,109
15-08,11231,10,0,0,0,3,0,7,0,55
15-08,11232,18,0,2,0,2,0,14,0,83
15-08,11233,45,0,4,0,6,0,35,0,159
15-08,11234,46,0,4,0,2,0,40,0,142
15-08,11235,17,1,4,1,4,0,9,0,113
15-08,11236,60,0,3,0,6,0,51,0,162
15-08,11237,14,0,4,0,3,0,7,0,90
15-08,11238,18,0,3,0,4,0,11,0,109
15-08,11239,2,0,0,0,1,0,1,0,26
15-08,11249,16,0,2,0,6,0,8,0,46
15-08,11354,22,0,6,0,1,0,15,0,122
15-08,11355,19,0,3,0,1,0,15,0,104
15-08,11356,9,0,0,0,0,0,9,0,42
15-08,11357,15,0,0,0,1,0,14,0,39
15-08,11358,10,0,2,0,2,0,6,0,68
15-08,11360,6,0,0,0,1,0,5,0,19
15-08,11361,10,0,6,0,0,0,4,0,69
15-08,11362,15,0,0,0,0,0,15,0,30
15-08,11363,2,0,0,0,0,0,2,0,17
15-08,11364,7,0,2,0,0,0,5,0,41
15-08,11365,4,0,0,0,0,0,4,0,25
15-08,11366,4,0,0,0,0,0,4,0,14
15-08,11367,2,0,0,0,0,0,2,0,32
15-08,11368,29,0,4,0,13,0,12,0,116
15-08,11369,20,0,0,0,4,0,16,0,52
15-08,11370,12,0,0,0,0,0,12,0,45
15-08,11372,29,1,5,1,12,0,12,0,115
15-08,11373,23,0,5,0,5,0,13,0,108
15-08,11374,16,0,3,0,0,0,13,0,65
15-08,11375,24,0,9,0,3,0,12,0,108
15-08,11377,41,0,5,0,10,0,26,0,139
15-08,11378,8,0,1,0,1,0,6,0,72
15-08,11379,18,1,4,1,1,0,13,0,53
15-08,11385,47,0,9,0,8,0,30,0,156
15-08,11411,3,0,0,0,0,0,3,0,36
15-08,11412,20,0,3,0,3,0,14,0,51
15-08,11413,30,1,1,0,1,0,28,1,80
15-08,11414,10,0,0,0,0,0,10,0,43
15-08,11415,3,0,1,0,0,0,2,0,22
15-08,11416,10,0,0,0,1,0,9,0,38
15-08,11417,23,0,3,0,1,0,19,0,70
15-08,11418,15,0,2,0,1,0,12,0,82
15-08,11419,19,0,7,0,1,0,11,0,86
15-08,11420,26,0,2,0,1,0,23,0,81
15-08,11421,13,0,0,0,2,0,11,0,46
15-08,11422,24,0,1,0,2,0,21,0,80
15-08,11423,14,0,3,0,1,0,10,0,64
15-08,11426,3,0,0,0,0,0,3,0,29
15-08,11427,10,0,1,0,0,0,9,0,32
15-08,11428,15,0,1,0,0,0,14,0,36
15-08,11429,11,0,1,0,0,0,10,0,42
15-08,11430,2,0,0,0,0,0,2,0,1
15-08,11432,19,0,2,0,3,0,14,0,93
15-08,11433,24,0,4,0,1,0,19,0,73
15-08,11434,58,1,3,0,7,0,48,1,167
15-08,11435,26,0,6,0,3,0,17,0,92
15-08,11436,15,0,1,0,0,0,14,0,33
15-08,11691,25,1,3,0,2,1,20,0,68
15-08,11692,2,0,2,0,0,0,0,0,13
15-08,11693,5,0,0,0,2,0,3,0,23
15-08,11694,4,0,0,0,2,0,2,0,23
15-08,11697,1,0,1,0,0,0,0,0,2
15-09,10001,20,0,6,0,3,0,11,0,175
15-09,10002,27,0,4,0,11,0,12,0,142
15-09,10003,21,0,2,0,13,0,6,0,108
15-09,10004,2,0,1,0,0,0,1,0,28
15-09,10005,1,0,0,0,1,0,0,0,13
15-09,10006,2,0,0,0,1,0,1,0,17
15-09,10007,5,0,0,0,2,0,3,0,54
15-09,10009,14,0,5,0,3,0,6,0,65
15-09,10010,16,0,10,0,3,0,3,0,97
15-09,10011,21,0,4,0,7,0,10,0,139
15-09,10012,18,0,7,0,9,0,2,0,79
15-09,10013,19,0,6,0,3,0,10,0,163
15-09,10014,15,0,5,0,1,0,9,0,66
15-09,10016,34,0,11,0,6,0,17,0,223
15-09,10017,17,0,6,0,3,0,8,0,98
15-09,10018,15,0,4,0,1,0,10,0,122
15-09,10019,23,0,6,0,11,0,6,0,190
15-09,10020,0,0,0,0,0,0,0,0,11
15-09,10021,7,0,3,0,2,0,2,0,87
15-09,10022,19,0,3,0,7,0,9,0,194
15-09,10023,10,0,5,0,2,0,3,0,89
15-09,10024,10,0,4,0,2,0,4,0,80
15-09,10025,17,0,6,0,3,0,8,0,99
15-09,10026,12,0,4,0,5,0,3,0,47
15-09,10027,12,0,4,0,3,0,5,0,108
15-09,10028,6,0,1,0,4,0,1,0,50
15-09,10029,21,0,6,0,6,0,9,0,129
15-09,10030,8,0,3,0,1,0,4,0,44
15-09,10031,17,0,6,0,1,0,10,0,55
15-09,10032,16,0,1,0,2,0,13,0,72
15-09,10033,12,0,5,0,1,0,6,0,71
15-09,10034,17,0,3,0,3,0,11,0,73
15-09,10035,22,0,14,0,2,0,6,0,102
15-09,10036,13,0,8,0,2,0,3,0,154
15-09,10037,10,0,6,0,2,0,2,0,43
15-09,10038,10,0,5,0,3,0,2,0,33
15-09,10039,7,0,2,0,1,0,4,0,33
15-09,10040,1,0,0,0,0,0,1,0,24
15-09,10048,0,0,0,0,0,0,0,0,1
15-09,10065,17,0,4,0,7,0,6,0,116
15-09,10069,0,0,0,0,0,0,0,0,1
15-09,10075,6,0,3,0,2,0,1,0,43
15-09,10111,0,0,0,0,0,0,0,0,1
15-09,10119,0,0,0,0,0,0,0,0,5
15-09,10128,12,0,4,0,2,0,6,0,85
15-09,10280,1,0,0,0,1,0,0,0,9
15-09,10282,0,0,0,0,0,0,0,0,2
15-09,10301,12,0,4,0,2,0,6,0,72
15-09,10302,0,0,0,0,0,0,0,0,2
15-09,10304,16,0,2,0,1,0,13,0,61
15-09,10305,9,0,3,0,0,0,6,0,57
15-09,10306,23,1,5,0,1,0,17,1,91
15-09,10307,0,0,0,0,0,0,0,0,5
15-09,10308,5,1,1,0,1,1,3,0,35
15-09,10309,13,0,0,0,0,0,13,0,38
15-09,10310,7,0,2,0,0,0,5,0,35
15-09,10312,30,0,2,0,1,0,27,0,87
15-09,10314,8,0,0,0,1,0,7,0,31
15-09,10451,18,0,8,0,2,0,8,0,81
15-09,10452,29,0,4,0,2,0,23,0,71
15-09,10453,20,0,6,0,6,0,8,0,71
15-09,10454,19,0,3,0,0,0,16,0,85
15-09,10455,26,0,8,0,2,0,16,0,61
15-09,10456,20,0,3,0,4,0,13,0,65
15-09,10457,38,0,9,0,5,0,24,0,84
15-09,10458,23,0,9,0,1,0,13,0,103
15-09,10459,31,0,10,0,3,0,18,0,63
15-09,10460,29,0,5,0,7,0,17,0,93
15-09,10461,27,0,6,0,1,0,20,0,85
15-09,10462,14,1,2,0,0,0,12,1,74
15-09,10463,8,1,2,1,1,0,5,0,58
15-09,10464,0,1,0,0,0,1,0,0,4
15-09,10465,14,1,0,1,2,0,12,0,48
15-09,10466,30,0,2,0,2,0,26,0,89
15-09,10467,40,0,7,0,3,0,30,0,140
15-09,10468,35,0,11,0,2,0,22,0,119
15-09,10469,20,0,4,0,2,0,14,0,80
15-09,10470,12,0,4,0,0,0,8,0,44
15-09,10471,4,0,1,0,2,0,1,0,17
15-09,10472,19,0,2,0,1,0,16,0,60
15-09,10473,13,0,2,0,0,0,11,0,59
15-09,10474,10,0,1,0,1,0,8,0,50
15-09,10475,7,1,3,0,0,0,4,1,49
15-09,11001,0,0,0,0,0,0,0,0,3
15-09,11004,0,0,0,0,0,0,0,0,21
15-09,11005,0,0,0,0,0,0,0,0,1
15-09,11040,1,0,0,0,0,0,1,0,4
15-09,11101,39,0,4,0,1,0,34,0,222
15-09,11102,4,0,2,0,1,0,1,0,37
15-09,11103,9,0,2,0,3,0,4,0,58
15-09,11104,6,0,2,0,2,0,2,0,22
15-09,11105,14,0,2,0,6,0,6,0,52
15-09,11106,9,0,3,0,1,0,5,0,68
15-09,11109,0,0,0,0,0,0,0,0,1
15-09,11201,48,0,8,0,13,0,27,0,198
15-09,11203,67,0,12,0,3,0,52,0,156
15-09,11204,23,0,5,0,6,0,12,0,100
15-09,11205,24,0,4,0,6,0,14,0,101
15-09,11206,54,0,9,0,17,0,28,0,149
15-09,11207,86,0,8,0,13,0,65,0,254
15-09,11208,53,0,8,0,2,0,43,0,143
15-09,11209,18,0,3,0,1,0,14,0,77
15-09,11210,44,0,7,0,2,0,35,0,105
15-09,11211,31,0,7,0,11,0,13,0,123
15-09,11212,46,0,6,0,2,0,38,0,144
15-09,11213,63,0,15,0,5,0,43,0,167
15-09,11214,26,0,7,0,6,0,13,0,116
15-09,11215,16,0,4,0,4,0,8,0,108
15-09,11216,40,0,13,0,6,0,21,0,128
15-09,11217,28,0,12,0,4,0,12,0,114
15-09,11218,20,0,6,0,3,0,11,0,89
15-09,11219,21,0,7,0,4,0,10,0,99
15-09,11220,36,0,5,0,2,0,29,0,157
15-09,11221,35,0,6,0,6,0,23,0,106
15-09,11222,17,0,3,0,4,0,10,0,98
15-09,11223,29,0,3,0,5,0,21,0,126
15-09,11224,5,0,2,0,1,0,2,0,55
15-09,11225,28,0,5,0,6,0,17,0,110
15-09,11226,71,0,16,0,6,0,49,0,154
15-09,11228,20,0,2,0,4,0,14,0,55
15-09,11229,30,1,6,0,2,0,22,1,102
15-09,11230,35,0,3,0,3,0,29,0,140
15-09,11231,10,0,2,0,1,0,7,0,38
15-09,11232,10,1,3,1,5,0,2,0,83
