hour,ym,count
15,07/01/2012,761
15,07/01/2013,794
15,07/01/2014,800
15,07/01/2015,862
15,07/01/2016,794
15,07/01/2017,805
15,08/01/2012,817
15,08/01/2013,763
15,08/01/2014,677
15,08/01/2015,799
15,08/01/2016,748
15,08/01/2017,708
15,09/01/2012,922
15,09/01/2013,825
15,09/01/2014,822
15,09/01/2015,917
15,09/01/2016,756
15,09/01/2017,734
15,10/01/2012,817
15,10/01/2013,816
15,10/01/2014,839
15,10/01/2015,907
15,10/01/2016,729
15,10/01/2017,779
15,11/01/2012,792
15,11/01/2013,758
15,11/01/2014,745
15,11/01/2015,811
15,11/01/2016,708
15,11/01/2017,756
15,12/01/2012,766
15,12/01/2013,727
15,12/01/2014,787
15,12/01/2015,802
15,12/01/2016,697
15,12/01/2017,802
16,01/01/2013,855
16,01/01/2014,931
16,01/01/2015,825
16,01/01/2016,1028
16,01/01/2017,754
16,01/01/2018,808
16,02/01/2013,809
16,02/01/2014,878
16,02/01/2015,837
16,02/01/2016,920
16,02/01/2017,722
16,02/01/2018,705
16,03/01/2013,930
16,03/01/2014,968
16,03/01/2015,1106
16,03/01/2016,1071
16,03/01/2017,915
16,03/01/2018,923
16,04/01/2013,1014
16,04/01/2014,974
16,04/01/2015,1013
16,04/01/2016,1066
16,04/01/2017,855
16,04/01/2018,68
16,05/01/2013,1100
16,05/01/2014,1026
16,05/01/2015,1183
16,05/01/2016,1039
16,05/01/2017,975
16,06/01/2013,1104
16,06/01/2014,1091
16,06/01/2015,1068
16,06/01/2016,940
16,06/01/2017,1023
16,07/01/2012,997
16,07/01/2013,1049
16,07/01/2014,1014
16,07/01/2015,1062
16,07/01/2016,931
16,07/01/2017,897
16,08/01/2012,998
16,08/01/2013,1015
16,08/01/2014,1012
16,08/01/2015,1078
16,08/01/2016,884
16,08/01/2017,848
16,09/01/2012,927
16,09/01/2013,1070
16,09/01/2014,1117
16,09/01/2015,1107
16,09/01/2016,914
16,09/01/2017,870
16,10/01/2012,952
16,10/01/2013,1062
16,10/01/2014,1085
16,10/01/2015,1124
16,10/01/2016,931
16,10/01/2017,835
16,11/01/2012,820
16,11/01/2013,928
16,11/01/2014,850
16,11/01/2015,902
16,11/01/2016,874
16,11/01/2017,810
16,12/01/2012,816
16,12/01/2013,963
16,12/01/2014,839
16,12/01/2015,895
16,12/01/2016,809
16,12/01/2017,847
17,01/01/2013,794
17,01/01/2014,871
17,01/01/2015,810
17,01/01/2016,969
17,01/01/2017,796
17,01/01/2018,789
17,02/01/2013,711
17,02/01/2014,773
17,02/01/2015,664
17,02/01/2016,815
17,02/01/2017,619
17,02/01/2018,662
17,03/01/2013,865
17,03/01/2014,818
17,03/01/2015,953
17,03/01/2016,968
17,03/01/2017,917
17,03/01/2018,896
17,04/01/2013,919
17,04/01/2014,876
17,04/01/2015,929
17,04/01/2016,1064
17,04/01/2017,802
17,04/01/2018,58
17,05/01/2013,1103
17,05/01/2014,1079
17,05/01/2015,1024
17,05/01/2016,989
17,05/01/2017,1017
17,06/01/2013,1047
17,06/01/2014,1013
17,06/01/2015,1107
17,06/01/2016,926
17,06/01/2017,1011
17,07/01/2012,909
17,07/01/2013,969
17,07/01/2014,1005
17,07/01/2015,1072
17,07/01/2016,938
17,07/01/2017,912
17,08/01/2012,972
17,08/01/2013,974
17,08/01/2014,945
17,08/01/2015,1060
17,08/01/2016,853
17,08/01/2017,836
17,09/01/2012,894
17,09/01/2013,949
17,09/01/2014,951
17,09/01/2015,1004
17,09/01/2016,830
17,09/01/2017,796
17,10/01/2012,890
17,10/01/2013,960
17,10/01/2014,946
17,10/01/2015,1064
17,10/01/2016,843
17,10/01/2017,794
17,11/01/2012,885
17,11/01/2013,946
17,11/01/2014,940
17,11/01/2015,979
17,11/01/2016,890
17,11/01/2017,861
17,12/01/2012,974
17,12/01/2013,961
17,12/01/2014,1008
17,12/01/2015,1131
17,12/01/2016,822
17,12/01/2017,920
18,01/01/2013,825
18,01/01/2014,763
18,01/01/2015,725
18,01/01/2016,918
18,01/01/2017,746
18,01/01/2018,698
18,02/01/2013,701
18,02/01/2014,649
18,02/01/2015,650
18,02/01/2016,788
18,02/01/2017,582
18,02/01/2018,689
18,03/01/2013,720
18,03/01/2014,739
18,03/01/2015,816
18,03/01/2016,833
18,03/01/2017,718
18,03/01/2018,716
18,04/01/2013,829
18,04/01/2014,810
18,04/01/2015,849
18,04/01/2016,887
18,04/01/2017,714
18,04/01/2018,63
18,05/01/2013,981
18,05/01/2014,871
18,05/01/2015,991
18,05/01/2016,895
18,05/01/2017,810
18,06/01/2013,951
18,06/01/2014,906
18,06/01/2015,965
18,06/01/2016,805
18,06/01/2017,877
18,07/01/2012,925
18,07/01/2013,911
18,07/01/2014,851
18,07/01/2015,996
18,07/01/2016,810
18,07/01/2017,833
18,08/01/2012,866
18,08/01/2013,865
18,08/01/2014,825
18,08/01/2015,907
18,08/01/2016,780
18,08/01/2017,703
18,09/01/2012,751
18,09/01/2013,745
18,09/01/2014,868
18,09/01/2015,930
18,09/01/2016,743
18,09/01/2017,605
18,10/01/2012,754
18,10/01/2013,824
18,10/01/2014,774
18,10/01/2015,920
18,10/01/2016,689
18,10/01/2017,624
